[2026-09-19 19:24:07] [INFO] ================================================================================
[2026-09-19 19:24:07] [INFO] STARTING OPENALEX FACULTY RESEARCH JSON EXTRACTION PIPELINE
[2026-09-19 19:24:07] [INFO] Target Sheet: Master - All Live Verified
[2026-09-19 19:24:07] [INFO] Destination:  d:\Others\findprofs\openalex_mechaero_faculty_json\universities_wise
[2026-09-19 19:24:07] [INFO] Date Filter:  2023-01-01 to 2026-06-30 (Mid-2026)
[2026-09-19 19:24:07] [INFO] ================================================================================
[2026-09-19 19:24:08] [INFO] Total verified faculty members with valid OpenAlex ID: 787
[2026-09-19 19:24:08] [INFO] Running multi-threaded harvesting pool with 5 workers...
[2026-09-19 19:25:45] [INFO] [ 92/787] ( 11.7%) [SAVED] Tanaji Paul               | Florida International Uni | Works:  60, Cites:   647, h-index: 17 | Speed: 0.9 profs/s | ETA: 12.2m
[2026-09-19 19:25:45] [INFO] [ 93/787] ( 11.8%) [SAVED] Rajan Kumar               | Florida State University  | Works: 261, Cites:  1961, h-index: 22 | Speed: 1.0 profs/s | ETA: 12.1m
[2026-09-19 19:25:45] [INFO] [ 94/787] ( 11.9%) [SAVED] Dwayne McDaniel           | Florida International Uni | Works:  89, Cites:   647, h-index: 15 | Speed: 1.0 profs/s | ETA: 12.0m
[2026-09-19 19:25:46] [INFO] [ 95/787] ( 12.1%) [SAVED] Farrukh Alvi              | Florida State University  | Works: 276, Cites:  5093, h-index: 37 | Speed: 1.0 profs/s | ETA: 12.0m
[2026-09-19 19:25:48] [INFO] [ 96/787] ( 12.2%) [SAVED] Unnikrishnan Sasidharan N | Florida State University  | Works:   2, Cites:    19, h-index:  1 | Speed: 1.0 profs/s | ETA: 12.1m
[2026-09-19 19:25:49] [INFO] [ 97/787] ( 12.3%) [SAVED] Chiang Shih               | Florida State University  | Works: 106, Cites:  1619, h-index: 21 | Speed: 1.0 profs/s | ETA: 12.0m
[2026-09-19 19:25:49] [INFO] [ 98/787] ( 12.5%) [SAVED] Kourosh Shoele            | Florida State University  | Works: 144, Cites:  1647, h-index: 18 | Speed: 1.0 profs/s | ETA: 11.9m
[2026-09-19 19:25:50] [INFO] [ 99/787] ( 12.6%) [SAVED] Neda Yaghoobian           | Florida State University  | Works:  41, Cites:   529, h-index:  9 | Speed: 1.0 profs/s | ETA: 11.8m
[2026-09-19 19:25:51] [INFO] [100/787] ( 12.7%) [SAVED] Huixuan Wu                | Florida State University  | Works:  61, Cites:   878, h-index: 10 | Speed: 1.0 profs/s | ETA: 11.8m
[2026-09-19 19:25:53] [INFO] [101/787] ( 12.8%) [SAVED] Christian Hubicki         | Florida State University  | Works:  65, Cites:  1518, h-index: 18 | Speed: 1.0 profs/s | ETA: 11.9m
[2026-09-19 19:25:54] [INFO] [102/787] ( 13.0%) [SAVED] Leigh McCue-Weil          | George Mason University   | Works:  80, Cites:   553, h-index: 11 | Speed: 1.0 profs/s | ETA: 11.8m
[2026-09-19 19:25:54] [INFO] [103/787] ( 13.1%) [SAVED] Jonathan Clark            | Florida State University  | Works: 141, Cites:  3255, h-index: 27 | Speed: 1.0 profs/s | ETA: 11.7m
[2026-09-19 19:25:55] [INFO] [104/787] ( 13.2%) [SAVED] Jeffrey L. Moran          | George Mason University   | Works:  57, Cites:  1515, h-index: 17 | Speed: 1.0 profs/s | ETA: 11.7m
[2026-09-19 19:25:55] [INFO] [105/787] ( 13.3%) [SAVED] Pouya Rezai               | George Mason University   | Works: 162, Cites:  2113, h-index: 26 | Speed: 1.0 profs/s | ETA: 11.6m
[2026-09-19 19:25:58] [INFO] [106/787] ( 13.5%) [SAVED] Daigo Shishika            | George Mason University   | Works:  96, Cites:   838, h-index: 16 | Speed: 1.0 profs/s | ETA: 11.8m
[2026-09-19 19:25:58] [INFO] [107/787] ( 13.6%) [SAVED] Philippe M. Bardet        | George Washington Univers | Works: 117, Cites:   633, h-index: 14 | Speed: 1.0 profs/s | ETA: 11.7m
[2026-09-19 19:25:58] [INFO] [108/787] ( 13.7%) [SAVED] Elias Balaras             | George Washington Univers | Works: 283, Cites:  7939, h-index: 41 | Speed: 1.0 profs/s | ETA: 11.6m
[2026-09-19 19:25:59] [INFO] [109/787] ( 13.9%) [SAVED] Michael Keidar            | George Washington Univers | Works: 812, Cites: 20651, h-index: 76 | Speed: 1.0 profs/s | ETA: 11.6m
