Faculty Name,University,Department,OpenAlex ID,Reason,Top Topics,Sample Landmark Paper
Min Zou,University of Arkansas,Department of Mechanical Engineering,A5080429701,ZERO_AERO_OR_FLUIDS_MATCH,"Metal and Thin Film Mechanics | Adhesion, Friction, and Surface Interactions | Tribology and Wear Analysis",Ultraviolet-visible spectroscopy of graphene oxides
Negar Mehr,University of California-Berkeley,Department of Mechanical Engineering / Aerospace Engineering Program,A5062267932,ZERO_AERO_OR_FLUIDS_MATCH,Traffic control and management | Transportation Planning and Optimization | Reinforcement Learning in Robotics,Maximum-Entropy Multi-Agent Dynamic Games: Forward and Inverse Solutions
Mohsen Habibi,University of California-Davis,Department of Mechanical and Aerospace Engineering,A5043573145,ZERO_AERO_OR_FLUIDS_MATCH,Advanced machining processes and optimization | Manufacturing Process and Optimization | Advanced Measurement and Metrology Techniques,Direct sound printing
Artur Davoyan,University of California-Los Angeles,Department of Mechanical and Aerospace Engineering,A5004879471,ZERO_AERO_OR_FLUIDS_MATCH,Plasmonic and Surface Plasmon Research | Photonic and Optical Devices | Metamaterials and Metasurfaces Applications,Materials challenges for the Starshot lightsail
Jason L. Speyer,University of California-Los Angeles,Department of Mechanical and Aerospace Engineering,A5069195481,ZERO_AERO_OR_FLUIDS_MATCH,Target Tracking and Data Fusion in Sensor Networks | Fault Detection and Control Systems | Guidance and Control Systems,A systems theory approach to the feedback stabilization of infinitesimal and finite-amplitude disturbances in plane Poiseuille flow
M. Khalid Jawed,University of California-Los Angeles,Department of Mechanical and Aerospace Engineering,A5055368146,ZERO_AERO_OR_FLUIDS_MATCH,Micro and Nano Robotics | Advanced Materials and Mechanics | Soft Robotics and Applications,Highly Dynamic Shape Memory Alloy Actuator for Fast Moving Soft Robots
Christopher A. Edwards,"University of California, Santa Cruz",Ocean Sciences,A5030115208,ZERO_AERO_OR_FLUIDS_MATCH,Oceanographic and Atmospheric Processes | Marine and coastal ecosystems | Climate variability and models,Impacts of the 2015–2016 El Niño on the California Current System: Early assessment and comparison to past events
Jerome Fiechter,"University of California, Santa Cruz",Ocean Sciences,A5065872306,ZERO_AERO_OR_FLUIDS_MATCH,Oceanographic and Atmospheric Processes | Marine and fisheries research | Marine and coastal ecosystems,ENSO and the C alifornia C urrent coastal upwelling response
Farhat Beg,University of California-San Diego,Department of Mechanical and Aerospace Engineering,A5083481557,ZERO_AERO_OR_FLUIDS_MATCH,Laser-Plasma Interactions and Diagnostics | Laser-induced spectroscopy and plasma | High-pressure geophysics and materials,Measurements of Energetic Proton Transport through Magnetized Plasma from Intense Laser Interactions with Solids
Jan Kleissl,University of California-San Diego,Department of Mechanical and Aerospace Engineering,A5024143856,ZERO_AERO_OR_FLUIDS_MATCH,Solar Radiation and Photovoltaics | Smart Grid Energy Management | Meteorological Phenomena and Simulations,Impact of the 2002 Canadian Forest Fires on Particulate Matter Air Quality in Baltimore City
