university,name,author_id,works_count,cited_by_count,h_index,primary_topic,top_topics
University of Oklahoma,Otávio C. Acevedo,A5034360328,249,3422,31,Wind and Air Flow Studies,Wind and Air Flow Studies | Meteorological Phenomena and Simulations | Fluid Dynamics and Turbulent Flows
Florida International University,Cheng-Xian Lin,A5044698411,234,3393,34,Heat Transfer and Optimization,Heat Transfer and Optimization | Heat Transfer and Boiling Studies | Combustion and flame dynamics
Tufts University,Eric Tytell,A5018798138,2515,3351,28,Fish Ecology and Management Studies,Fish Ecology and Management Studies | Biomimetic flight and propulsion mechanisms | Sports Performance and Training
Clemson University,Leo G. Rebholz,A5028355904,222,3326,32,Advanced Numerical Methods in Computational Mathematics,Advanced Numerical Methods in Computational Mathematics | Computational Fluid Dynamics and Aerodynamics | Fluid Dynamics and Turbulent Flows
University of Central Florida,Olusegun J. Ilegbusi,A5008885258,214,3314,27,Metallurgical Processes and Thermodynamics,Metallurgical Processes and Thermodynamics | Gas Sensing Nanomaterials and Sensors | Advanced Chemical Sensor Technologies
University of Dayton,Steven Zabarnick,A5091528593,109,3310,32,Heat transfer and supercritical fluids,Heat transfer and supercritical fluids | Advanced Combustion Engine Technologies | Rocket and propulsion systems research
Lehigh University,Alparslan Öztekin,A5062609071,224,3306,33,Membrane Separation Technologies,Membrane Separation Technologies | Phase Change Materials Research | Fluid Dynamics and Turbulent Flows
Louisiana State University,Chao Sun,A5100418659,255,3260,31,Vibration Control and Rheological Fluids,Vibration Control and Rheological Fluids | Fluid Dynamics and Vibration Analysis | Seismic Performance and Analysis
Louisiana State University,Michael Martin,A5018681679,289,3258,28,Gas Dynamics and Kinetic Theory,Gas Dynamics and Kinetic Theory | Mechanical and Optical Resonators | Advanced MEMS and NEMS Technologies
Auburn University,Mehmet Arık,A5042514590,198,3253,28,Plasma and Flow Control in Aerodynamics,Plasma and Flow Control in Aerodynamics | Heat Transfer and Optimization | Fluid Dynamics and Turbulent Flows
University of Rhode Island,Mohammad Faghri,A5112567444,226,3250,32,Heat Transfer and Optimization,Heat Transfer and Optimization | Heat Transfer Mechanisms | Nanofluid Flow and Heat Transfer
